<Trait>	SdArea_cm2	Hgt_cm	Hdng_grp
H0446	7.396853333	141.8908	1.7113
H0447	7.76352	155.2241333	1.377966667
H0448	7.416853333	146.8908	1.7113
H0449	8.856853333	150.2241333	1.377966667
H0450	8.046853333	141.8908	1.044633333
H0451	7.16352	126.8908	2.044633333
H0452	8.39352	146.8908	0.7113
H0455	10.22018667	136.8908	1.7113
H0456	8.196853333	126.8908	1.377966667
H0458	7.796853333	148.5574667	2.044633333
H0459	8.59352	153.5574667	1.377966667
H0460	8.120186667	138.5574667	1.044633333
H0461	8.720186667	141.8908	0.7113
H0462	7.84352	143.5574667	1.377966667
H0463	8.86352	141.8908	1.377966667
H0464	8.50352	138.5574667	1.044633333
H0469	7.97352	143.5574667	1.044633333
H0470	7.69352	141.8908	1.044633333
H0471	7.536853333	155.2241333	1.044633333
H0473	8.946853333	128.5574667	1.044633333
H0475	7.010186667	140.2241333	1.044633333
H0476	8.51352	138.5574667	1.044633333
H0481	8.05352	155.2241333	1.044633333
H0482	7.556853333	150.2241333	1.044633333
H0483	8.000186667	148.5574667	1.044633333
H0484	9.04352	155.2241333	1.377966667
H0485	7.670186667	148.5574667	1.377966667
H0486	8.886853333	146.8908	0.7113
H0487	7.040186667	145.2241333	1.044633333
H0488	7.850186667	140.2241333	0.7113
H0489	7.93352	144.3661	1.7113
H0490	8.040186667	136.8908	1.044633333
H0491	8.506853333	143.5574667	0.377966667
H0492	7.89352	130.2241333	0.377966667
H0493	8.36352	145.2241333	1.044633333
H0495	7.056853333	135.2241333	1.377966667
H0497	7.540186667	149.3661	1.044633333
H0498	6.590186667	141.8908	1.377966667
H0499	7.166853333	141.8661	0.377966667
H0500	7.756853333	148.5574667	0.7113
H0501	7.950186667	133.5574667	0.377966667
H0503	7.930186667	138.5574667	0.377966667
H0505	7.74145	131.8908	0.044633333
H0506	8.540186667	151.8908	0.377966667
H0507	7.220186667	153.5574667	0.377966667
H0508	6.746853333	146.8908	0.377966667
H0509	7.80352	150.2241333	0.7113
H0510	7.460186667	151.8908	1.044633333
H0511	6.866853333	150.2241333	1.044633333
H0512	7.100186667	150.2241333	1.044633333
H0513	7.090186667	151.8908	0.044633333
H0514	7.696853333	143.5574667	1.377966667
H0515	7.356853333	135.2241333	1.377966667
H0516	8.960186667	148.5574667	1.044633333
H0519	7.316853333	146.8908	1.044633333
H0520	6.260186667	125.2241333	1.377966667
H0521	7.620186667	123.5574667	1.377966667
H0522	7.370186667	136.8908	1.377966667
H0523	7.210186667	126.8908	2.044633333
H0525	7.050186667	135.2241333	1.044633333
H0526	8.720186667	128.5574667	1.7113
H0527	9.130186667	136.8908	1.7113
H0528	7.75352	135.2241333	2.044633333
H0530	7.666853333	138.5574667	0.7113
H0531	7.800186667	133.5574667	1.377966667
H0532	6.60352	136.8908	0.7113
H0533	8.100186667	151.8908	1.377966667
H0534	6.110186667	130.2241333	1.044633333
H0535	6.960186667	146.8908	1.044633333
H0538	7.67352	143.5574667	1.7113
H0539	7.900186667	159.3661	1.044633333
H0541	6.890186667	138.5574667	2.044633333
H0542	8.696853333	135.2241333	2.044633333
H0543	9.02352	128.5574667	1.7113
H0545	8.100186667	143.5574667	1.377966667
H0546	8.270186667	146.8908	1.7113
H0547	7.73352	141.8908	1.377966667
H0548	8.86352	150.2241333	1.377966667
H0549	8.296853333	143.5574667	1.377966667
H0550	7.036853333	144.3661	1.7113
H0551	7.496853333	136.8908	1.7113
H0552	8.800186667	138.5574667	2.044633333
H0553	6.836853333	146.8908	1.7113
H0554	7.200186667	141.8661	1.7113
H0555	6.44352	146.8908	0.7113
H0556	7.356853333	136.8908	0.377966667
H0557	7.92352	150.2241333	1.377966667
H0559	6.60352	138.5574667	1.377966667
H0560	6.996853333	155.2241333	1.377966667
H0561	7.270186667	155.2241333	1.7113
H0562	7.486853333	143.5574667	1.7113
H0563	6.90352	153.5574667	1.7113
H0564	6.44352	145.2241333	1.377966667
H0565	9.18352	146.8908	1.044633333
H0568	7.170186667	148.5574667	1.7113
H0569	7.71352	136.8908	1.7113
H0572	6.996853333	140.2241333	1.377966667
H0574	7.546853333	140.2241333	1.377966667
H0575	7.71352	156.8908	1.044633333
H0576	7.47352	148.5574667	1.377966667
H0577	7.786853333	138.5574667	1.377966667
H0578	7.860186667	154.3661	1.377966667
H0579	6.850186667	144.3661	2.044633333
H0580	8.156853333	141.8661	2.044633333
H0581	8.77352	143.5574667	1.377966667
H0582	7.990186667	143.5574667	0.044633333
H0583	8.100186667	141.8661	1.044633333
H0584	8.586853333	144.3661	0.7113
H0585	7.43352	141.2241333	0.7113
H0586	7.396853333	143.5574667	1.044633333
H0587	7.906853333	136.8908	1.044633333
H0588	8.27352	140.2241333	1.7113
H0589	8.030186667	141.8908	1.7113
H0590	7.596853333	138.5574667	1.7113
H0591	7.10352	148.5574667	2.044633333
H0592	8.490186667	156.8908	1.7113
H0593	8.51352	150.2241333	1.377966667
H0594	7.466853333	156.8908	0.7113
H0595	7.366853333	133.5574667	1.044633333
H0596	8.310186667	136.8908	1.377966667
H0597	7.736853333	145.2241333	0.7113
H0598	8.126853333	141.8908	1.044633333
H0599	8.030186667	145.2241333	1.044633333
H0603	6.960186667	135.2241333	1.044633333
H0604	8.18352	138.5574667	1.044633333
H0608	6.96352	143.5574667	1.044633333
H0609	7.920186667	146.8908	1.377966667
H0612	7.77352	149.3661	1.7113
H0613	8.126853333	148.5574667	1.377966667
H0614	9.356853333	148.5574667	1.044633333
H0615	7.616853333	133.5574667	1.044633333
H0618	7.406853333	145.2241333	1.377966667
H0619	6.92352	141.8908	1.044633333
H0621	8.566853333	143.5574667	0.377966667
H0623	9.11352	148.5574667	0.377966667
H0624	6.920186667	130.2241333	1.377966667
H0629	8.760186667	141.8908	1.044633333
H0630	8.796853333	155.2241333	1.044633333
H0631	8.940186667	141.8908	2.044633333
H0633	8.696853333	124.3661	2.044633333
H0634	8.41352	128.5574667	0.7113
H0635	8.07352	141.8908	1.377966667
H0636	9.48352	148.5574667	1.377966667
H0641	7.960186667	115.2241333	1.044633333
H0642	7.286853333	141.8661	1.377966667
H0644	9.66352	150.2241333	1.044633333
H0645	9.16352	143.5574667	1.044633333
H0646	7.620186667	143.5574667	1.7113
H0647	8.340186667	154.3661	1.044633333
H0648	7.81352	141.8908	1.377966667
H0649	7.61352	128.5574667	1.044633333
H0650	8.556853333	141.8908	1.044633333
H0651	7.66352	141.8908	1.377966667
H0652	9.100186667	151.8908	1.377966667
H0653	8.41352	133.5574667	1.377966667
H0655	8.79352	140.2241333	1.044633333
H0656	7.960186667	123.5574667	1.377966667
H0657	7.490186667	118.5574667	1.044633333
H0659	6.606853333	129.3661	0.044633333
H0660	7.916853333	130.2241333	0.7113
H0661	7.886853333	145.2241333	0.7113
H0662	7.25645	125.2241333	1.044633333
H0663	7.460186667	126.8908	0.7113
H0664	7.10352	125.2241333	1.377966667
H0665	6.13352	123.5574667	1.044633333
H0667	6.016853333	131.8908	1.044633333
H0668	7.390186667	146.8908	1.044633333
H0669	8.576853333	135.2241333	1.044633333
H0670	7.20352	130.2241333	1.7113
H0676	8.220186667	145.2241333	1.044633333
H0677	7.370186667	146.8908	1.377966667
H0678	7.05352	126.8908	1.377966667
H0679	8.106853333	133.5574667	1.377966667
H0680	8.890186667	141.8908	0.377966667
H0681	6.716853333	136.8908	1.7113
H0684	8.16352	138.5574667	1.044633333
H0685	7.250186667	148.5574667	2.377966667
H0686	7.56352	136.8908	1.044633333
H0687	7.26528	143.5574667	1.377966667
H0692	7.936853333	155.2241333	0.7113
H0695	7.34352	161.8908	0.7113
H0696	6.59352	145.2241333	1.044633333
H0699	7.370186667	136.8908	0.7113
H0702	7.100186667	138.5574667	1.7113
H0703	7.20352	135.2241333	1.044633333
H0704	6.820186667	135.2241333	0.7113
H0705	7.890186667	140.2241333	1.7113
H0706	7.520186667	130.2241333	1.044633333
H0707	7.87352	125.2241333	1.044633333
H0708	8.136853333	131.8908	2.044633333
H0709	8.086853333	130.2241333	1.7113
